character,Ant-Man,Avengers: Age of Ultron,Avengers: Endgame,Avengers: Infinity War,Black Panther,Captain America: Civil War,Captain America: The First Avenger,Captain America: The Winter Soldier,Captain Marvel,Guardians of the Galaxy Vol. 2,Iron Man,Iron Man 2,Iron Man 3,Spider-Man: Homecoming,The Avengers,Thor,Thor: Ragnarok,Thor: The Dark World,total lines,total words,movie appearances,avg words per line,avg lines per movie
NEWS REPORTER #4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,11,1,11,1
BRAHL,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10,1,10,1
COP ON SPEAKER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,10,1
ENLISTMENT GUY,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,1,10,1
FACILITY MANAGER,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,1,10,1
HUSBAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10,1,10,1
OLD FOOTAGE RECORDING,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10,1,10,1
PET STORE CLERK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10,1,10,1
QUINJET PILOT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10,1,10,1
SHIELD ENGINEER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10,1,10,1
TYCOON,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10,1,10,1
WIFE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10,1,10,1
25TH FLOOR STRIKE AGENT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9,1,9,1
AVENGERS JIMMY,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,9,1
BOY,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9,1,9,1
CALCUTTA WOMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9,1,9,1
DOME CONTROL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,9,1
FACELESS PILOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9,1,9,1
GOVERNMENT EMPLOYEE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9,1,9,1
TEXT MESSAGE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9,1,9,1
ATTENDANT,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8,1,8,1
AVENGERS KID,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,8,1
COUNCILMAN HAWLEY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8,1,8,1
HAMMER SECURITY GUARD,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8,1,8,1
ROBBER 4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8,1,8,1
SOLDIER,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8,1,8,1
ANNOUNCEMENT,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7,1,7,1
ASGARDIAN EINHERJAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,1,7,1
ASGARDIAN MAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,1,7,1
BARKEEPER,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,1,7,1
DAY SLEEPER,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,1,7,1
ELECTRONIC VOICE-OVER,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,1,7,1
FAMILIES,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,1,7,1
GAMORA'S MOTHER,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,7,1
HYDRA SOLDIER,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,1,7,1
MR. HAPGOOD,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,1,7,1
OFF SCREEN WORKER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,1,7,1
OLD MAN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,1,7,1
ORDERLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,1,7,1
PATIENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,1,7,1
SCIENTIST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,1,7,1
VOICEMAIL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,1,7,1
ZRINKA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,7,1
ANTIQUE STORE OWNER,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,6,1
DODC CENTRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,1,6,1
GOVERNMENT OFFICIAL #1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,1,6,1
JOTUN SENTRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,1,6,1
KID IN THE BACKSEAT,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,1,6,1
KIDS IN USO AUDIENCE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,6,1
KURSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,1,6,1
MANDY,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,6,1
NEWS REPORTER #3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,1,6,1
REPORTER #3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,1,6,1
RESIDENT 1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,1,6,1
ROBBER 2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,1,6,1
SECURITY CHIEF,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,6,1
SMITHSONIAN GUARD,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,1,6,1
"VERS, BRON-CHAR, KORATH, MINN-ERVA AND ATT-LASS",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,1,6,1
DODC DRIVER,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,1,5,1
DRILL INSTRUCTOR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,1,5,1
FEMALE CITIZEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,1,5,1
HELICARRIER INTERCOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,1,5,1
JOTUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,1,5,1
SCRAPPER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,1,5,1
SHIELD AGENT #1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,1,5,1
WORLD HUB TECH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,5,1
911 OPERATOR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,1,4,1
ARMY HECKLER#2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,1
ARMY HECKLER#3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,1
ARMY HECKLER#4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,1
ASGARDIAN WOMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,4,1
BORDER TRIBE COMMANDER,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,1
COUNCILMAN 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,4,1
FRENCH PIRATE #2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,1,4,1
GSG-9 DRIVER,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,1
JACK ROLLINS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,1,4,1
JAQUES DERNIER,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,1
MAINFRAME,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,1,4,1
MAN#1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,1
MAN#2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,1
MANDARIN LOOK-OUT,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,1,4,1
NASA SCIENTIST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,4,1
NEWS REPORTER #2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,1,4,1
PRETTY MUCH EVERYONE IN THE CROWD,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,4,1
PYM TECH EMPLOYEE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,1
RAMIREZ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,1,4,1
RANDOM WOMAN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,1
SPANISH TEACHER,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,1,4,1
SSR DOCTOR,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,1
TOURIST,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,1,4,1
VOICE FROM EARPIECE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,1
WOMAN IN CROWD,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,4,1
CAB DRIVER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,1
DRIVER,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,1
"ELDERS, WARRIORS, DORA",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,1
GOLDSTEIN,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,3,1
GRANDPA QUILL,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1,3,1
HALF-NUT,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1,3,1
IRON MAN KID,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,3,1
JASON/BETTY,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,3,1
KHALID,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,3,1
MAN IN CROWD,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,3,1
MERCENARY #2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,1
OLDER MAN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,1
PROPRIETOR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1,3,1
RESIDENT 2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,3,1
SECOND GUARD,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,3,1
SHIELD AGENT #3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,3,1
SOMEONE IN BACKGROUND,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,3,1
USO GIRL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,1
WEASELLY THUG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,3,1
WEIRD OLD MAN,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1,3,1
ACTOR SIF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,2,1
ASGARDIAN CITIZENS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,2,1
BORDER TRIBE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1
CARGO TRUCK MILITANT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1
CHEERLEADER,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,2,1
CIA AGENT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1
CORPORAL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1
DOCTOR #1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1
ELK RIDGE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,2,1
FBI AGENT 2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,2,1
FRIEND,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,2,1
FURY AND MARIA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,2,1
HYDRA TECHNICIANS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1
JOSEF / SUPER SOLDIER #1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1
JOTUN VOICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,2,1
MAINTENANCE GUY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,2,1
MALE VOICE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,2,1
NIGERIAN WOMAN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1
PEOPLE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,2,1
POOL BBQ DAD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1
PYM TECH GATE GUARD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1
ROBBER 3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,2,1
SCURRILOUS RAVAGER,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,2,1
SOVEREIGN PILOT,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,2,1
STRIKE AGENT #2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1
VOLSTAGG / HOGUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,2,1
WAKANDAN CHILD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1
WAKANDAN CHILDREN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1
AGENT DELANCEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
ANNIE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
BALLET INSTRUCTOR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
DUBAI BEAUTY #1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1
DURAND,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
HYDRA GUARDS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
JACQUES DERNIER,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
LIZ/NED,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
MERCENARY,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
MUFFLED VOICE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
ROSE HILL CHRISTMAS TREE SHOPPER,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
SHURI/NAKIA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
SOH-LARR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
STRIKE AGENT #1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
STRIKE AGENT #3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
TALL RAVAGER,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1
TENT KIDS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
THOMAS RICHARDS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
THOR / BANNER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
